name,ap_test_score,mean_ap_train_score,mean_ap_validate_score,f1_test_score,recall_test_score,precision_test_score,accuracy_test_score
GradientBoost_RandomOverSampler_FDR_0.005,0.10260934447187679,0.11776979053709864,0.09093048037911043,0.11187214611872145,0.725925925925926,0.06060606060606061,0.8019852379740392
GradientBoost_RandomOverSampler_FDR_0.05,0.100545410560941,0.1213668250156787,0.08728871465454283,0.12109862671660425,0.7185185185185186,0.06612133605998637,0.8208195469585137
GradientBoost_RandomOverSampler_FDR_0.5,0.10425537322791793,0.11858925564577402,0.08727714963818652,0.11520190023752969,0.7185185185185186,0.06262104583602324,0.8103843217103589
GradientBoost_RandomOverSampler_FDR_0.25,0.10399233981209613,0.121572554486201,0.08632807298973942,0.12221514958625079,0.7111111111111111,0.06685236768802229,0.8245100534487146
GradientBoost_RandomOverSampler_SFM_GB_1.5mean,0.10596135571415383,0.11951745945980663,0.08620289970767896,0.11964735516372796,0.7037037037037037,0.0653819683413627,0.8220921354034105
GradientBoost_RandomOverSampler_FDR_0.01,0.1042060960189135,0.12023090883565488,0.08617312522833111,0.1181646763042112,0.6962962962962963,0.06456043956043957,0.821455841180962
LogisticRegressionLasso_Baseline_FDR_0.05,0.10588906223807242,0.08614901369757957,0.08610655047481035,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionElasticNet_Baseline_None,0.10726899215883248,0.0862751806460028,0.0860353300012566,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionLasso_Baseline_FDR_0.5,0.10533628965831818,0.08660780576601179,0.08593436312995151,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionElasticNet_Baseline_FDR_0.5,0.10749260825731755,0.08603762284679521,0.08591570302429541,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionLasso_Baseline_None,0.10523619910030514,0.08682175886103737,0.08581057850352505,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionRidge_Baseline_FDR_0.5,0.10721222442153941,0.08614503629536348,0.08579818330300479,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionRidge_Baseline_None,0.10710238096652949,0.08648406354771673,0.08579188052741574,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionLasso_Baseline_FDR_0.01,0.10590784777370665,0.08538772713031229,0.08578053641001729,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionBase_Baseline_FDR_0.5,0.10460995331442162,0.08673858291067785,0.08577541763567552,0.0,0.0,0.0,0.9828200559938916
